player,Age,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,HEIGHT,HANDED,DRAFTED,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Will Butcher,26,D,23,1,10,11,-3,2,1.3,1,0,0,0,8,2,0,37,2.7,438,1142,28,7,0,0,0.0,178,0,123,1.17,37,75,48,0.16,5.07,10.28,6.58,198.0,206.0,49.01,396.0,381.0,50.97,285.0,275.0,50.89,16.38,16.45,49.89,24,3,0,3733333,0.0458077668711656
Paul Byron,31,LW,46,5,11,16,5,12,1.4,4,0,1,1,11,0,0,44,11.4,591,771,22,116,11,15,42.3,175,0,179,4.51,42,79,61,0.47,4.37,8.23,6.35,234.0,300.0,43.82,435.0,547.0,44.3,320.0,419.0,43.3,17.48,25.59,40.59,30,4,1,3400000,0.0417177914110429
Drake Caggiula,26,LW,38,3,7,10,-6,19,0.4,3,0,0,0,7,0,0,46,6.5,471,744,9,64,5,8,38.5,178,0,300,4.84,46,78,62,0.62,5.86,9.93,7.89,200.0,259.0,43.57,354.0,483.0,42.29,264.0,377.0,41.19,18.71,21.35,46.7,26,1,1,700000,0.0085889570552147
Matt Calvert,31,LW,18,0,3,3,-2,6,-0.2,0,0,0,0,3,0,0,26,0.0,249,829,8,12,0,1,0.0,180,0,127,2.6,26,45,32,0.63,6.28,10.86,7.72,103.0,124.0,45.37,208.0,218.0,48.83,141.0,161.0,46.69,9.61,9.74,49.69,28,3,1,2850000,0.0349693251533742
Brandon Carlo,24,D,27,3,1,4,1,12,1.4,3,0,0,1,1,0,0,43,7.0,505,1123,35,38,0,0,0.0,196,1,37,1.27,43,90,67,0.15,5.11,10.69,7.96,251.0,227.0,52.51,456.0,439.0,50.95,357.0,342.0,51.07,17.66,21.02,45.66,22,2,0,2850000,0.0349693251533742
John Carlson,31,D,52,10,34,44,-5,12,5.9,7,3,0,1,22,12,0,128,7.8,1237,1427,69,52,0,0,0.0,191,1,27,7.98,128,251,191,0.39,6.21,12.18,9.27,656.0,579.0,53.12,1201.0,1064.0,53.02,929.0,826.0,52.93,65.87,56.49,53.83,28,8,1,8000000,0.0981595092024539
Ryan Carpenter,30,C,40,4,1,5,-10,19,-0.3,2,1,1,0,1,0,0,51,7.8,508,761,17,78,61,65,48.4,183,1,300,5.28,51,75,66,0.62,6.03,8.86,7.8,213.0,266.0,44.47,387.0,454.0,46.02,285.0,345.0,45.24,17.64,25.29,41.09,28,3,1,1000000,0.0122699386503067
William Carrier,26,LW,52,6,9,15,0,16,1.2,6,0,0,0,9,0,0,65,9.2,541,625,13,131,3,5,37.5,188,0,57,7.97,62,99,82,0.91,7.06,11.28,9.34,260.0,255.0,50.49,507.0,456.0,52.65,376.0,337.0,52.73,23.86,22.79,51.15,25,4,0,1400000,0.0171779141104294
Jeff Carter,36,C,54,17,13,30,3,22,3.6,15,2,0,1,10,3,0,154,11.0,895,994,30,41,153,161,48.7,191,1,11,14.55,154,226,189,0.98,10.33,15.16,12.68,470.0,451.0,51.03,811.0,778.0,51.04,614.0,596.0,50.74,45.37,45.46,49.95,25,11,0,5272727,0.0646960368098159
Cody Ceci,27,D,53,4,13,17,18,10,3.8,4,0,0,1,13,0,0,58,6.9,981,1111,70,74,0,0,0.0,188,1,15,2.09,58,110,78,0.13,3.55,6.72,4.76,415.0,543.0,43.32,727.0,951.0,43.33,550.0,718.0,43.38,33.97,45.06,42.98,26,1,1,1250000,0.0153374233128834
