player,Age,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,HEIGHT,HANDED,DRAFTED,GA60,xGA60,GSAx60,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Thatcher Demko,25,35,35,16,18,1,99,1164,1065,0.915,2.85,1,7.8,2087,19,0.543,3,92.0,8.24,193,0,36,2.89,3.1,0.21,23,2,0,1050000,0.012883435582822
Casey DeSmith,29,20,17,11,7,0,48,543,495,0.912,2.54,2,3.4,1132,9,0.529,2,96.0,2.03,183,0,300,2.54,2.74,0.2,27,3,1,1250000,0.0153374233128834
Devan Dubnyk,34,22,18,6,11,2,63,602,539,0.895,3.2,1,2.7,1183,8,0.444,4,114.0,-7.54,198,0,14,3.2,2.59,-0.61,29,6,1,4333333,0.0531697300613496
Marc-André Fleury,36,36,36,26,10,0,71,989,918,0.928,1.98,6,8.0,2147,26,0.722,3,78.0,20.12,188,0,1,2.04,2.55,0.51,34,3,1,7000000,0.0858895705521472
Anton Forsberg,28,8,8,3,4,1,24,264,240,0.909,3.21,0,1.6,449,6,0.75,1,99.0,0.32,191,0,188,3.21,3.12,-0.09,27,1,1,700000,0.0085889570552147
Alexandar Georgiev,24,19,18,8,7,2,44,465,421,0.905,2.71,2,2.6,974,9,0.5,3,103.0,-1.16,185,0,300,2.71,2.48,-0.23,24,2,0,2425000,0.0297546012269938
John Gibson,27,35,35,9,19,7,101,1042,941,0.903,2.98,3,5.6,2031,15,0.429,7,105.0,-5.0,188,0,39,2.98,2.87,-0.11,25,8,0,6400000,0.0785276073619632
Thomas Greiss,35,34,29,8,15,8,79,894,815,0.912,2.7,2,5.6,1755,17,0.586,4,96.0,3.36,188,0,94,2.7,2.45,-0.25,34,2,1,3600000,0.0441717791411042
Philipp Grubauer,29,40,39,30,9,1,77,993,916,0.922,1.95,7,7.4,2367,26,0.667,5,84.0,14.48,185,0,112,2.0,2.1,0.1,26,3,0,3333333,0.0408997914110429
Connor Hellebuyck,27,45,45,24,17,3,112,1335,1223,0.916,2.58,4,9.1,2603,25,0.556,6,91.0,10.99,193,0,130,2.66,2.94,0.28,25,6,0,6166666,0.0756646134969325
Adin Hill,24,19,17,9,9,1,46,530,484,0.913,2.74,2,3.4,1006,8,0.471,2,94.0,2.83,198,0,76,2.74,2.7,-0.05,24,1,0,800000,0.0098159509202454
Marcus Högberg,26,14,10,4,7,0,40,322,282,0.876,3.74,0,0.8,642,3,0.3,3,135.0,-10.33,196,0,78,3.74,2.6,-1.14,24,2,0,700000,0.0085889570552147
Braden Holtby,31,21,21,7,11,3,77,695,618,0.889,3.67,0,2.7,1260,7,0.333,5,120.0,-12.97,188,0,93,3.34,3.11,-0.23,30,2,1,4300000,0.052760736196319
Ville Husso,25,17,15,9,6,1,49,460,411,0.893,3.21,1,2.0,917,7,0.467,2,116.0,-6.62,188,0,94,3.43,2.71,-0.72,25,2,0,750000,0.00920245398773
Carter Hutton,35,13,12,1,10,1,39,341,302,0.886,3.47,0,1.2,675,6,0.5,4,124.0,-7.58,183,0,300,3.47,2.75,-0.72,32,3,1,2750000,0.0337423312883435
Tristan Jarry,25,39,38,25,9,3,100,1100,1000,0.909,2.75,2,6.6,2185,24,0.632,7,99.0,1.34,188,0,44,2.75,2.47,-0.28,25,3,0,3500000,0.0429447852760736
Martin Jones,31,34,34,15,13,4,102,980,878,0.896,3.28,1,4.5,1868,15,0.441,12,113.0,-11.71,193,0,300,3.28,2.83,-0.45,28,6,1,5750000,0.0705521472392638
Anton Khudobin,34,32,32,12,11,7,76,799,723,0.905,2.54,3,4.4,1795,17,0.531,8,103.0,-2.39,180,0,206,2.54,2.2,-0.34,34,3,1,3333333,0.0408997914110429
Joonas Korpisalo,26,33,31,9,13,7,96,904,808,0.894,3.3,0,3.9,1747,13,0.419,8,115.0,-12.71,191,0,62,3.3,2.67,-0.63,26,2,0,2800000,0.0343558282208589
Mikko Koskinen,32,26,25,13,13,0,76,756,680,0.899,3.17,0,3.8,1438,12,0.48,4,109.0,-6.35,201,0,31,3.14,2.79,-0.34,30,3,1,4500000,0.0552147239263803
Darcy Kuemper,30,27,27,10,11,3,66,710,644,0.907,2.56,2,4.1,1547,15,0.556,3,101.0,-0.59,196,0,161,2.56,2.49,-0.07,30,2,1,4500000,0.0552147239263803
Robin Lehner,29,19,19,13,4,2,44,505,461,0.913,2.29,1,3.2,1155,12,0.632,4,95.0,2.53,193,0,46,2.29,2.55,0.26,28,5,1,5000000,0.0613496932515337
