Player,Age,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
Carl Söderberg,35,C,45,7,10,17,-5,18,1.2,3,4,0,1,8,1,1,61,11.5,649,865,36,66,201,190,51.4
Marcus Sorensen,28,RW,29,1,4,5,-5,16,-0.1,1,0,0,0,4,0,0,26,3.8,351,725,11,22,3,4,42.9
Carson Soucy,26,D,50,1,16,17,22,51,4.0,1,0,0,1,16,0,0,47,2.1,764,917,49,62,0,0,0.0
Jason Spezza,37,C,54,10,20,30,3,6,3.0,9,1,0,2,16,4,0,81,12.3,596,662,10,26,275,208,56.9
Daniel Sprong,23,RW,42,13,7,20,7,12,2.9,13,0,0,3,7,0,0,74,17.6,490,700,1,28,4,4,50.0
Jared Spurgeon,31,D,54,7,18,25,-2,6,3.9,4,3,0,0,12,6,0,94,7.4,1193,1325,102,52,0,0,0.0
Eric Staal,36,C,53,5,8,13,-30,10,-0.5,4,1,0,1,6,2,0,82,6.1,780,883,15,23,268,279,49.0
Jordan Staal,32,C,53,16,22,38,2,30,4.0,9,7,0,4,14,7,1,103,15.5,980,1109,24,135,628,455,58.0
Marc Staal,34,D,56,3,7,10,-5,20,2.3,3,0,0,0,7,0,0,53,5.7,1031,1105,45,58,0,0,0.0
Steven Stamkos,30,C,38,17,17,34,4,16,4.3,7,10,0,1,11,5,1,91,18.7,694,1096,10,38,238,178,57.2
Logan Stanley,22,D,37,1,3,4,13,26,2.0,1,0,0,0,3,0,0,63,1.6,489,793,31,49,0,0,0.0
Paul Stastny,35,C,56,13,16,29,-3,32,2.6,11,2,0,4,10,6,0,101,12.9,975,1045,19,38,324,268,54.7
Troy Stecher,26,D,44,3,8,11,-13,12,1.4,3,0,0,0,8,0,0,55,5.5,762,1039,46,33,0,0,0.0
Sam Steel,22,C,42,6,6,12,-7,8,0.7,6,0,0,0,6,0,0,42,14.3,610,872,19,41,237,212,52.8
Kevin Stenlund,24,C,32,5,5,10,-4,8,0.8,5,0,0,1,4,1,0,42,11.9,401,752,13,17,103,115,47.2
Derek Stepan,30,C,20,1,5,6,-6,8,0.0,1,0,0,0,3,2,0,44,2.3,301,904,16,25,130,130,50.0
Chandler Stephenson,26,C,51,14,21,35,22,29,4.3,11,2,1,5,17,3,1,83,16.9,923,1086,35,43,375,369,50.4
Riley Stillman,22,D,21,1,0,1,5,16,0.9,1,0,0,0,0,0,0,29,3.4,323,922,29,51,0,0,0.0
Mark Stone,28,RW,55,21,40,61,26,28,7.6,14,6,1,8,29,11,0,98,21.4,1048,1144,33,31,12,18,40.0
Michael Stone,30,D,21,2,2,4,-1,6,0.9,2,0,0,0,2,0,0,41,4.9,338,965,27,24,0,0,0.0
Anton Strålman,34,D,38,3,6,9,-1,8,1.6,3,0,0,0,6,0,0,38,7.9,720,1137,30,37,0,0,0.0
Dylan Strome,23,C,40,9,8,17,-16,14,1.1,5,4,0,1,5,3,0,71,12.7,621,931,19,8,198,223,47.0
Ryan Strome,27,C,56,14,35,49,6,39,5.0,11,3,0,1,18,15,2,128,10.9,1023,1096,18,22,321,422,43.2
Jack Studnicka,21,C,20,1,2,3,-3,0,-0.1,1,0,0,0,2,0,0,28,3.6,255,765,10,7,46,55,45.5
Nico Sturm,25,C,50,11,6,17,10,17,2.3,11,0,0,2,6,0,0,64,17.2,542,651,26,48,69,65,51.5
Tim Stützle,19,LW,53,12,17,29,-18,14,2.2,8,4,0,2,12,5,0,111,10.8,834,944,15,50,8,19,29.6
P.K. Subban,31,D,44,5,14,19,-16,26,2.0,3,2,0,0,11,3,0,99,5.1,984,1342,46,41,0,0,0.0
Oskar Sundqvist,26,C,28,4,5,9,-6,14,0.3,3,1,0,0,3,2,0,32,12.5,424,909,25,50,115,124,48.1
Pius Suter,24,F,55,14,13,27,-5,14,2.6,13,1,0,3,11,2,0,112,12.5,898,980,34,28,266,359,42.6
Ryan Suter,36,D,56,3,16,19,9,12,3.7,2,1,0,0,11,5,0,86,3.5,1242,1331,65,38,0,0,0.0
Brandon Sutter,31,C,43,9,3,12,-9,2,0.9,7,0,2,0,3,0,0,65,13.8,648,905,28,18,276,221,55.5
Nick Suzuki,21,C,56,15,26,41,-5,26,4.0,9,5,1,1,17,8,1,110,13.6,1018,1091,38,70,350,446,44.0
Andrei Svechnikov,20,RW,55,15,27,42,1,44,4.3,11,4,0,1,14,13,0,147,10.2,965,1052,18,114,2,4,33.3
